memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
512,burst,False,2026180,1.127169,9228818,7918451,
512,burst,False,1832803,1.312806,12320194,10796591,
512,burst,True,3927813,1.067622,7203969,4006476,
512,burst,False,2853942,1.100195,11503159,9067780,
512,burst,False,2338322,1.303974,7040683,3911670,
512,burst,False,2978574,1.126675,14380116,11995785,
512,burst,False,2928981,1.07165,8221755,6215369,
512,burst,True,3716479,1.309109,7865894,3777633,
512,burst,True,3687588,1.313042,5446217,3816420,
512,burst,True,3176229,1.305162,4794884,3264970,
512,burst,False,3202656,1.095629,20104715,17424595,
512,burst,False,2223362,1.118892,16933290,14224706,
512,burst,False,2256039,1.307798,11197589,7997782,
512,burst,False,2875769,1.315316,8148679,6625629,
512,burst,True,3356113,1.068359,5108043,3431607,
512,burst,False,2537253,1.060914,7196430,5935890,
512,burst,False,1877512,1.314154,13048663,9878841,
512,burst,True,3963898,1.068021,5333010,4040146,
512,burst,False,1861435,1.310655,9172638,5753150,
512,burst,False,2358050,1.306733,10540459,8971029,
512,warm,False,2480782,1.987166,6947984,0,
512,warm,False,2661215,0.935451,3817382,0,
512,warm,False,2515859,0.948388,6227990,0,
512,warm,False,2405965,1.512441,4136431,0,
512,warm,False,2857641,1.511079,4572367,0,
512,warm,False,2490342,0.951262,3742233,0,
512,warm,False,2524175,1.402727,6925297,0,
512,warm,False,1905970,0.950806,5727575,0,
512,warm,False,1780623,0.954839,5658721,0,
512,warm,False,2651721,0.943927,3803989,0,
512,warm,False,2893782,1.402776,4519490,0,
512,warm,False,2472932,1.405789,4119873,0,
512,warm,False,2641332,0.948394,8546808,0,
512,warm,False,2205426,1.400476,6923235,0,
512,warm,False,2445640,1.404038,6928566,0,
512,warm,False,2591271,1.398485,4209178,0,
512,warm,False,2047634,1.513407,12019603,0,
512,warm,False,2000166,2.044162,8728129,0,
512,warm,False,2538846,1.510948,9194735,0,
512,warm,False,1732179,1.512917,5912377,0,
512,warm,False,2880198,1.397985,4496386,0,
512,warm,False,1870304,0.993588,8544773,0,
512,warm,False,2731753,1.51289,9724402,0,
512,warm,False,2020949,1.405302,6926884,0,
512,warm,False,2418866,1.51226,6994298,0,
512,warm,False,2561796,1.401105,9236270,0,
512,warm,False,2562829,0.95185,3741336,0,
512,warm,False,2669189,0.956288,6628284,0,
512,warm,False,2435895,1.511697,4171351,0,
